arena_name,capacity,season_start,season_end,team_id
American Airlines Center,19200,,,1
Ball Arena,19520,,,2
Barclays Center,17732,,,3
Capital One Arena,20333,,,4
Chase Center,18064,,,5
Crypto.com Arena,18997,,,6
Delta Center,18306,,,7
FedExForum,17794,,,8
Fiserv Forum,17341,,,9
Frost Bank Center,18354,,,10
Gainbridge Fieldhouse,17923,,,11
Golden 1 Center,17611,,,12
Intuit Dome,18000,,,13
Kaseya Center,19600,,,14
Kia Center,18846,,,15
Little Caesars Arena,20332,,,16
Madison Square Garden,19812,,,17
Moda Center,19411,,,18
Mortgage Matchup Center,17071,,,19
Paycom Center,18203,,,20
Rocket Arena,19432,,,21
Scotiabank Arena,19800,,,22
Smoothie King Center,16867,,,23
Spectrum Center,19077,,,24
State Farm Arena,17044,,,25
Target Center,18024,,,26
TD Garden,18624,,,27
Toyota Center,18055,,,28
United Center,20917,,,29
Xfinity Mobile Arena,20007,,,30
Oracle Arena,19596,,2019,5
Crypto.com Arena,18997,,2024,13
