home_gms,home_total,home_avg,road_gms,road_avg,all_gms,all_avg,season,team_id
41,851824,20776,41,18030,82,19403,2018,29
41,843042,20562,41,19071,82,19825,2018,21
41,833503,20329,41,18012,82,19185,2018,30
41,813431,19839,41,17673,82,18756,2018,22
41,811453,19791,41,17374,82,18597,2018,1
41,785250,19631,41,18177,82,18895,2018,14
41,803436,19596,41,18884,82,19240,2018,5
41,795328,19398,41,17556,82,18477,2018,18
41,792608,19331,41,18179,82,18762,2018,17
41,776327,18934,41,18655,82,18796,2018,6
41,744960,18624,41,18588,82,18606,2018,27
41,754562,18403,41,18427,82,18415,2018,10
41,746323,18203,41,18866,82,18534,2018,20
41,718946,17973,41,17682,82,17826,2018,4
41,734806,17922,41,17495,82,17708,2018,7
41,716008,17900,41,18369,82,18137,2018,28
41,715728,17893,41,17651,82,17770,2018,15
41,649571,17555,41,17478,82,17515,2018,12
41,713945,17413,41,17959,82,17686,2018,16
41,702796,17141,41,17871,82,17506,2018,2
41,699308,17056,41,17850,82,17453,2018,26
41,697812,17019,41,17735,82,17373,2018,13
41,674655,16866,41,17610,82,17243,2018,19
41,685303,16714,41,18380,82,17547,2018,9
41,673920,16437,41,17911,82,17174,2018,23
41,671404,16375,41,17623,82,16999,2018,24
41,658119,16051,41,17749,82,16889,2018,11
41,653863,15947,41,17348,82,16648,2018,8
41,622278,15556,41,17687,82,16622,2018,3
41,590769,14409,41,17854,82,16088,2018,25
41,838092,20441,41,17895,82,19168,2019,30
41,823475,20084,41,17822,82,18953,2019,29
41,820569,20013,41,18073,82,19043,2019,1
41,812822,19824,41,18239,82,19032,2019,22
41,805264,19640,41,18176,82,18908,2019,14
41,803436,19596,41,18790,82,19193,2019,5
41,799345,19496,41,17992,82,18753,2019,18
41,793337,19349,41,17632,82,18490,2019,21
41,779087,19002,41,17566,82,18284,2019,17
41,778877,18997,41,18862,82,18929,2019,6
41,763584,18624,41,18671,82,18647,2019,27
41,756457,18450,41,17474,82,17962,2019,2
41,750616,18307,41,17381,82,17844,2019,10
41,750546,18306,41,17517,82,17911,2019,7
41,746323,18203,41,17866,82,18034,2019,20
41,740392,18058,41,17921,82,17989,2019,28
41,721692,17602,41,18185,82,17893,2019,9
41,720024,17561,41,17659,82,17610,2019,15
41,716996,17487,41,17509,82,17498,2019,4
41,710327,17325,41,17233,82,17279,2019,13
41,700975,17096,41,17199,82,17148,2019,12
41,689310,16812,41,17957,82,17377,2019,11
41,676570,16501,41,17648,82,17074,2019,24
41,675963,16486,41,17819,82,17153,2019,16
41,656183,16004,41,17667,82,16835,2019,23
41,607564,15578,41,17579,82,16604,2019,8
41,628440,15327,41,17786,82,16557,2019,25
41,627543,15305,41,17641,82,16473,2019,26
41,627023,15293,41,17982,82,16638,2019,19
41,612597,14941,41,18085,82,16513,2019,3
35,639491,20628,38,17706,73,19122,2020,30
38,682096,20061,37,18249,75,19169,2020,1
36,633456,19795,36,17789,72,18792,2020,22
36,629771,19680,37,18127,73,18891,2020,14
36,608634,19633,38,17941,74,18748,2020,18
37,633153,19186,36,17163,73,18190,2020,2
36,610864,19089,36,18409,72,18749,2020,27
36,610176,19068,36,17855,72,18461,2020,13
35,588907,18997,36,18877,71,18936,2020,6
33,620789,18811,33,17767,66,18289,2020,17
34,639352,18804,31,17767,65,18310,2020,29
34,550515,18350,37,17588,71,17951,2020,10
37,600699,18203,35,17855,72,18034,2020,20
36,578458,18076,36,18072,72,18074,2020,28
34,614176,18064,31,17454,65,17773,2020,5
36,623576,17816,29,18254,65,18014,2020,21
35,549036,17710,38,17892,73,17805,2020,9
35,529870,17092,38,17243,73,17171,2020,15
36,532702,16646,36,17587,72,17117,2020,4
36,529002,16531,37,17297,73,16914,2020,11
36,528172,16505,36,18234,72,17369,2020,23
36,524907,16403,36,17910,72,17157,2020,3
34,545453,16042,33,17786,67,16901,2020,25
37,523297,15857,36,17508,73,16670,2020,8
39,550633,15732,34,17660,73,16622,2020,19
33,509463,15438,33,17641,66,16539,2020,16
31,478591,15438,34,17564,65,16550,2020,24
32,482112,15066,32,17463,64,16264,2020,26
35,520663,0,37,0,72,0,2020,12
35,567486,0,37,0,72,0,2020,7
36,151300,4450,36,3104,72,4077,2021,7
36,68583,3810,36,2693,72,3284,2021,30
36,104027,3715,36,2951,72,3397,2021,19
36,94849,3648,36,2316,72,3140,2021,1
36,54554,3636,36,2481,72,3023,2021,2
36,130712,3630,36,2954,72,3405,2021,15
36,13655,3413,36,2343,72,2538,2021,29
36,68255,3412,36,2475,72,2981,2021,24
36,117009,3250,36,3282,72,3259,2021,28
36,61053,3052,36,3170,72,3111,2021,10
36,33457,3041,36,2873,72,2939,2021,5
36,91476,2950,36,2616,72,2828,2021,21
36,21331,2666,36,2678,72,2675,2021,4
36,64780,2591,36,2644,72,2612,2021,9
36,93120,2586,36,2793,72,2662,2021,23
36,26024,2365,36,2046,72,2152,2021,22
36,23313,2331,36,3015,72,2762,2021,6
36,30067,2312,36,2781,72,2607,2021,27
36,59288,2195,36,2786,72,2397,2021,25
36,61449,2194,36,2928,72,2500,2021,8
36,7756,1939,36,3420,72,3138,2021,18
36,42131,1755,36,2803,72,2244,2021,17
36,13901,1737,36,2932,72,2590,2021,13
36,30491,1524,36,3005,72,2182,2021,3
36,15774,1434,36,2307,72,1937,2021,26
