team_id,team_name
1,Dallas Mavericks
2,Denver Nuggets
3,Brooklyn Nets
4,Washington Wizards
5,Golden State Warriors
6,Los Angeles Lakers
7,Utah Jazz
8,Memphis Grizzlies
9,Milwaukee Bucks
10,San Antonio Spurs
11,Indiana Pacers
12,Sacramento Kings
13,Los Angeles Clippers
14,Miami Heat
15,Orlando Magic
16,Detroit Pistons
17,New York Knicks
18,Portland Trail Blazers
19,Phoenix Suns
20,Oklahoma City Thunder
21,Cleveland Cavaliers
22,Toronto Raptors
23,New Orleans Pelicans
24,Charlotte Hornets
25,Atlanta Hawks
26,Minnesota Timberwolves
27,Boston Celtics
28,Houston Rockets
29,Chicago Bulls
30,Philadelphia 76ers
