team_name
Dallas Mavericks
Denver Nuggets
Brooklyn Nets
Washington Wizards
Golden State Warriors
Los Angeles Lakers
Utah Jazz
Memphis Grizzlies
Milwaukee Bucks
San Antonio Spurs
Indiana Pacers
Sacramento Kings
Los Angeles Clippers
Miami Heat
Orlando Magic
Detroit Pistons
New York Knicks
Portland Trail Blazers
Phoenix Suns
Oklahoma City Thunder
Cleveland Cavaliers
Toronto Raptors
New Orleans Pelicans
Charlotte Hornets
Atlanta Hawks
Minnesota Timberwolves
Boston Celtics
Houston Rockets
Chicago Bulls
Philadelphia 76ers
