0,1,2,3,4,5,6,7,8,9,10,11
2025 Attendance,2025 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,825659,20138,--,41,18227,4151.8,82,19182,8738.8
2,Mavericks,40,803174,20079,--,42,18104,2061.8,82,19079,4292.9
3,76ers,41,813621,19844,--,41,17873,4071.2,82,18858,8591.3
4,NY Knicks,41,811794,19799,--,41,18465,4206.0,82,19132,8716.0
5,Nuggets,41,811211,19785,--,41,18093,4121.4,82,18939,8628.1
6,Heat,41,808337,19715,--,41,18200,4145.7,82,18958,8636.5
7,Cavaliers,41,796712,19432,--,41,18441,4200.7,82,18936,8626.8
8,Celtics,41,785396,19156,--,41,18520,4218.7,82,18838,8582.0
9,Pistons,41,781929,19071,--,41,18016,4103.7,82,18543,8447.7
10,Timberwolves,41,772249,18835,--,41,18158,4136.2,82,18497,8426.5
11,Raptors,41,768573,18745,--,41,18030,4106.9,82,18387,8376.8
12,Lakers,41,767626,18722,--,41,18796,2140.7,82,18759,4273.0
13,Magic,41,762121,18588,--,41,18005,4101.2,82,18296,8335.2
14,Jazz,41,745175,18175,--,41,17697,1343.7,82,17936,2723.7
15,Warriors,41,740624,18064,--,41,18564,2114.2,82,18314,4171.5
16,Thunder,42,754832,17972,--,40,18255,2028.4,82,18110,4125.1
17,Spurs,41,731474,17840,--,41,18135,2065.4,82,17988,4097.3
18,Trail Blazers,41,719369,17545,--,41,17806,2028.0,82,17676,4026.2
19,Rockets,41,716853,17484,--,41,18005,2050.7,82,17745,4041.9
20,Bucks,42,732014,17428,--,40,18357,4079.5,82,17882,8146.2
21,Nets,41,713304,17397,--,41,18043,4109.8,82,17720,8072.6
22,Hornets,41,703935,17169,--,41,18314,4171.5,82,17741,8082.3
23,Suns,41,699911,17071,--,41,18116,2063.2,82,17593,4007.4
24,Kings,41,679565,16989,--,41,17934,2042.5,82,17467,3930.2
25,Pelicans,41,689400,16814,--,41,17953,4089.4,82,17384,7919.4
26,Pacers,41,685434,16717,--,41,17770,4047.7,82,17244,7855.7
27,Grizzlies,41,683067,16660,--,41,18131,2065.0,82,17395,3962.4
28,Clippers,41,679220,16566,92.0,41,18203,--,82,17384,193.2
29,Hawks,40,657613,16440,--,42,18088,4220.7,82,17284,7874.1
30,Wizards,41,663691,16187,--,41,18136,4131.0,82,17161,7818.2
31,Team Chuck,2,35078,0,--,0,0,--,0,0,--
,Team Shaq,1,17539,0,--,1,0,--,2,0,--
,Team Kenny,0,0,0,--,1,0,--,0,0,--
,Team Candace,0,0,0,--,1,0,--,0,0,--
