RK,TEAM,HOME_GMS,HOME_TOTAL,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,ALL_GMS,ALL_AVG,ALL_PCT,season
1,Bulls,41,851824,20776,--,41,18030,4106.9,82,19403,8839.3,2018
2,Cavaliers,41,843042,20562,--,41,19071,4238.1,82,19825,8921.6,2018
3,76ers,41,833503,20329,--,41,18012,4002.7,82,19185,8633.3,2018
4,Raptors,41,813431,19839,--,41,17673,4025.6,82,18756,8544.6,2018
5,Mavericks,41,811453,19791,--,41,17374,1930.5,82,18597,4184.5,2018
6,Heat,41,785250,19631,--,41,18177,4140.4,82,18895,8502.9,2018
7,Warriors,41,803436,19596,--,41,18884,2150.7,82,19240,4382.5,2018
8,Trail Blazers,41,795328,19398,--,41,17556,1999.5,82,18477,4208.8,2018
9,NY Knicks,41,792608,19331,--,41,18179,4039.8,82,18762,8443.2,2018
10,Lakers,41,776327,18934,--,41,18655,2072.8,82,18796,4229.3,2018
11,Celtics,41,744960,18624,--,41,18588,4130.7,82,18606,8269.4,2018
12,Spurs,41,754562,18403,--,41,18427,4197.4,82,18415,8389.4,2018
13,Thunder,41,746323,18203,--,41,18866,4297.5,82,18534,8443.7,2018
14,Wizards,41,718946,17973,--,41,17682,4027.6,82,17826,8021.8,2018
15,Jazz,41,734806,17922,--,41,17495,1992.5,82,17708,4033.7,2018
16,Rockets,41,716008,17900,--,41,18369,2092.0,82,18137,4081.0,2018
17,Magic,41,715728,17893,--,41,17651,4020.6,82,17770,7996.8,2018
18,Kings,41,649571,17555,--,41,17478,1990.6,82,17515,3795.0,2018
19,Pistons,41,713945,17413,--,41,17959,4090.7,82,17686,8057.1,2018
20,Nuggets,41,702796,17141,--,41,17871,2035.3,82,17506,3987.5,2018
21,Timberwolves,41,699308,17056,--,41,17850,2033.0,82,17453,3975.5,2018
22,Clippers,41,697812,17019,94.6,41,17735,--,82,17373,190.7,2018
23,Suns,41,674655,16866,--,41,17610,2005.7,82,17243,3879.7,2018
24,Bucks,41,685303,16714,--,41,18380,4186.7,82,17547,7994.0,2018
25,Pelicans,41,673920,16437,--,41,17911,2039.9,82,17174,3911.9,2018
26,Hornets,41,671404,16375,--,41,17623,4014.2,82,16999,7744.2,2018
27,Pacers,41,658119,16051,--,41,17749,3944.2,82,16889,7600.5,2018
28,Grizzlies,41,653863,15947,--,41,17348,1975.8,82,16648,3792.1,2018
29,Nets,41,622278,15556,--,41,17687,3930.6,82,16622,7387.7,2018
30,Hawks,41,590769,14409,--,41,17854,3868.5,82,16088,7150.6,2018
1,76ers,41,838092,20441,--,41,17895,4076.1,82,19168,8732.2,2019
2,Bulls,41,823475,20084,--,41,17822,4059.5,82,18953,8634.4,2019
3,Mavericks,41,820569,20013,--,41,18073,2058.4,82,19043,4337.8,2019
4,Raptors,41,812822,19824,--,41,18239,4154.7,82,19032,8670.3,2019
5,Heat,41,805264,19640,--,41,18176,4140.1,82,18908,8613.8,2019
6,Warriors,41,803436,19596,--,41,18790,2140.0,82,19193,4371.8,2019
7,Trail Blazers,41,799345,19496,--,41,17992,1999.2,82,18753,4219.6,2019
8,Cavaliers,41,793337,19349,--,41,17632,4016.2,82,18490,8423.7,2019
9,NY Knicks,41,779087,19002,--,41,17566,4001.3,82,18284,8329.5,2019
10,Lakers,41,778877,18997,--,41,18862,2148.2,82,18929,4311.8,2019
11,Celtics,41,763584,18624,--,41,18671,4253.0,82,18647,8495.1,2019
12,Nuggets,41,756457,18450,--,41,17474,1990.2,82,17962,4091.5,2019
13,Spurs,41,750616,18307,--,41,17381,1979.6,82,17844,4064.6,2019
14,Jazz,41,750546,18306,--,41,17517,1995.0,82,17911,4079.9,2019
15,Thunder,41,746323,18203,--,41,17866,2034.8,82,18034,4107.9,2019
16,Rockets,41,740392,18058,--,41,17921,2041.0,82,17989,4097.7,2019
17,Bucks,41,721692,17602,--,41,18185,4142.3,82,17893,8151.7,2019
18,Magic,41,720024,17561,--,41,17659,4022.5,82,17610,8022.6,2019
19,Wizards,41,716996,17487,--,41,17509,3988.3,82,17498,7971.6,2019
20,Clippers,41,710327,17325,96.3,41,17233,--,82,17279,192.0,2019
21,Kings,41,700975,17096,--,41,17199,1958.8,82,17148,3905.9,2019
22,Pacers,41,689310,16812,--,41,17957,3990.5,82,17377,7820.0,2019
23,Hornets,41,676570,16501,--,41,17648,4019.8,82,17074,7778.6,2019
24,Pistons,41,675963,16486,--,41,17819,4058.8,82,17153,7814.1,2019
25,Pelicans,41,656183,16004,--,41,17667,4024.2,82,16835,7669.7,2019
26,Grizzlies,41,607564,15578,--,41,17579,2002.1,82,16604,3689.8,2019
27,Hawks,41,628440,15327,--,41,17786,4051.3,82,16557,7542.7,2019
28,Timberwolves,41,627543,15305,--,41,17641,4018.4,82,16473,7504.7,2019
29,Suns,41,627023,15293,--,41,17982,2048.1,82,16638,3789.8,2019
30,Nets,41,612597,14941,--,41,18085,4119.5,82,16513,7522.8,2019
1,76ers,35,639491,20628,--,38,17706,3246.3,73,19122,6799.0,2020
2,Mavericks,38,682096,20061,--,37,18249,--,75,19169,--,2020
3,Raptors,36,633456,19795,--,36,17789,3162.5,72,18792,6681.7,2020
4,Heat,36,629771,19680,--,37,18127,3323.3,73,18891,6822.1,2020
5,Trail Blazers,36,608634,19633,--,38,17941,1694.5,74,18748,3385.1,2020
6,Nuggets,37,633153,19186,--,36,17163,3051.2,73,18190,6568.7,2020
